reas_group,reas_desc,state,category1,spare4
String|Line1 Reasons,Line Producing,DOWNTIME,None,1
String|Line1 Reasons,Running Semi-Auto,DOWNTIME,None,2
String|Line1 Reasons,Line Stopped/Idle,DOWNTIME,None,9
String|Line1 Reasons,Communication Fault,DOWNTIME,Excluded Time,10
String|Line1 Reasons,Plan Downtime,DOWNTIME,Excluded Time,11
String|Line1 Reasons|External Delay,Starved - Primary,DOWNTIME,Excluded Time,12
String|Line1 Reasons|External Delay,Starved - Secondary,DOWNTIME,Excluded Time,13
String|Line1 Reasons|External Delay,Blocked - Primary,DOWNTIME,Excluded Time,14
String|Line1 Reasons|External Delay,Blocked - Secondary,DOWNTIME,Excluded Time,15
String|Line1 Reasons,Bypassed/Not In Use,DOWNTIME,Excluded Time,20
String|Line1 Reasons,Operator Stop,DOWNTIME,Process Failure - 2404,21
String|Line1 Reasons|Operator Stop,EStop,DOWNTIME,Process Failure - 2404,22
String|Line1 Reasons|Operator Stop,Held,DOWNTIME,Process Failure - 2404,23
String|Line1 Reasons|Operator Stop,Stopped,DOWNTIME,Process Failure - 2404,24
String|Line1 Reasons|Operator Stop,Idle/Complete,DOWNTIME,Process Failure - 2404,25
String|Line1 Reasons|Operator Stop,Mode Off,DOWNTIME,Process Failure - 2404,26
String|Line1 Reasons|Operator Stop,Mode Manual,DOWNTIME,Process Failure - 2404,27
String|Line1 Reasons|Operator Stop,Mode Semi-Auto,DOWNTIME,Process Failure - 2404,28
String|Line1 Reasons|Operator Stop,Mode Not Auto,DOWNTIME,Process Failure - 2404,29
String|Line1 Reasons,Filling Buffer,DOWNTIME,Excluded Time,51
String|Line1 Reasons,Emptying Buffer,DOWNTIME,Excluded Time,52
String|Line1 Reasons,Buffer Full,DOWNTIME,Excluded Time,53
String|Line1 Reasons,Buffer Empty,DOWNTIME,Excluded Time,54
String|Line1 Reasons,Idling,DOWNTIME,Excluded Time,55
String|Line1 Reasons,Stopped Bottle Count,DOWNTIME,Excluded Time,56
String|Line1 Reasons|Not Running,With Buffer Capacity,DOWNTIME,Excluded Time,60
String|Line1 Reasons,Bypassed to TFS,DOWNTIME,Excluded Time,61
String|Line1 Reasons,Labeler Not In Use,DOWNTIME,Excluded Time,62
String|Line1 Reasons,Changeover,DOWNTIME,No Superreason - 2405,100
String|Line1 Reasons|Changeover,Pack,DOWNTIME,Prod Adjustment - 2402,105
String|Line1 Reasons|Changeover,Scent,DOWNTIME,Prod Adjustment - 2402,110
String|Line1 Reasons|Changeover,Size,DOWNTIME,Prod Adjustment - 2402,115
String|Line1 Reasons|Changeover,Size + Scent + Pack,DOWNTIME,Prod Adjustment - 2402,120
String|Line1 Reasons|Changeover,Size + Scent,DOWNTIME,Prod Adjustment - 2402,125
String|Line1 Reasons,Excluded Time,DOWNTIME,Excluded Time,200
String|Line1 Reasons|Excluded Time,Capital Work 75M,DOWNTIME,Excluded Time,205
String|Line1 Reasons|Excluded Time,COVID19,DOWNTIME,Excluded Time,210
String|Line1 Reasons|Excluded Time,EO PQ,DOWNTIME,Excluded Time,215
String|Line1 Reasons|Excluded Time,Scheduled Down,DOWNTIME,Excluded Time,235
String|Line1 Reasons,Planned,DOWNTIME,No Superreason - 2405,400
String|Line1 Reasons|Planned,Breaks-Lunch,DOWNTIME,Shutdown Loss - 2401,405
String|Line1 Reasons|Planned,Meetings,DOWNTIME,Shutdown Loss - 2401,410
String|Line1 Reasons|Planned,Shutdown Procedure,DOWNTIME,Shutdown Loss - 2401,415
String|Line1 Reasons|Planned,Startup Procedure,DOWNTIME,Shutdown Loss - 2401,420
String|Line1 Reasons|Planned,Testing,DOWNTIME,Shutdown Loss - 2401,425
String|Line1 Reasons|Planned,AM event (add note),DOWNTIME,Shutdown Loss - 2401,430
String|Line1 Reasons|Planned,Training,DOWNTIME,Shutdown Loss - 2401,450
