Site,Asset Name,MES Ent in ABLE,Type,PLC
Atlanta Main,HC1,None,LINE,HC1 SLCS PLC
Atlanta Main,HC1 Decaser,None,SEC,HC1 Decaser PLC
Atlanta Main,HC1 Posiflex,None,SEC,HC1 Posiflex PLC
Atlanta Main,HC1 Giramat,None,SEC,HC1 Giramat PLC
Atlanta Main,HC1 Filler-Capper,None,SEC,HC1 SLCS PLC
Atlanta Main,HC1 Sleever,None,SEC,HC1 Sleever PLC
Atlanta Main,HC1 Twin Sleever,None,SEC,HC1 Twin Sleever PLC
Atlanta Main,HC1 Flexlink Accum,None,SEC,HC1 Flexlink Accum PLC
Atlanta Main,HC1 Case Packer,None,SEC,HC1 Case Packer PLC
Atlanta Main,HC1 Case Sealer,None,SEC,HC1 SLCS PLC
Atlanta Main,HC1 Print And Apply,None,SEC,HC1 SLCS PLC
Atlanta Main,HC1 Palletizer,None,SEC,HC1 Palletizer PLC
Atlanta Main,HC1 Stretch Wrapper,None,SEC,HC1 Stretch Wrapper PLC
Atlanta Main,HC2,None,LINE,HC2 SLCS PLC
Atlanta Main,HC2 Decaser,None,SEC,HC2 SLCS PLC
Atlanta Main,HC2 Posiflex,None,SEC,HC2 Posiflex PLC
Atlanta Main,HC2 Giramat,None,SEC,HC2 Giramat PLC
Atlanta Main,HC2 Labeler,None,SEC,HC2 Labeler PLC
Atlanta Main,HC2 Filler,None,SEC,HC2 Filler PLC
Atlanta Main,HC2 Capper,None,SEC,HC2 Capper PLC
Atlanta Main,HC2 Case Packer,None,SEC,HC2 Case Packer PLC
Atlanta Main,HC2 Case Sealer,None,SEC,HC2 SLCS PLC
Atlanta Main,HC2 Palletizer,None,SEC,HC2 Palletizer PLC
Atlanta Main,HC2 Print And Apply,None,SEC,HC2 SLCS PLC
Atlanta Main,HC2 Stretch Wrapper,None,SEC,HC2 Stretch Wrapper PLC
Atlanta Main,HC5,None,LINE,HC5 SLCS PLC
Atlanta Main,HC5 Decaser,None,SEC,HC5 Decaser PLC
Atlanta Main,HC5 Posiflex,None,SEC,HC5 Posiflex PLC
Atlanta Main,HC5 Giramat,None,SEC,HC5 Giramat PLC
Atlanta Main,HC5 Dynac,None,SEC,HC5 Dynac PLC
Atlanta Main,HC5 Filler,None,SEC,HC5 Filler PLC
Atlanta Main,HC5 Trigger Inserter,None,SEC,HC5 Trigger Inserter PLC
Atlanta Main,HC5 Trigger Sorter,None,SEC,HC5 Trigger Sorter PLC
Atlanta Main,HC5 Sleever,None,SEC,HC5 Sleever PLC
Atlanta Main,HC5 Case Packer,None,SEC,HC5 Case Packer PLC
Atlanta Main,HC5 Case Sealer,None,SEC,HC5 SLCS PLC
Atlanta Main,HC5 Palletizer,None,SEC,HC5 Palletizer PLC
Atlanta Main,HC5 Print And Apply,None,SEC,HC5 SLCS PLC
Atlanta Main,HC5 Stretch Wrapper,None,SEC,HC5 Stretch Wrapper PLC
Atlanta Main,HC6,None,LINE,HC6 SLCS PLC
Atlanta Main,HC6 SIPA1,None,SEC,HC6 SLCS PLC
Atlanta Main,HC6 SIPA2,None,SEC,HC6 SLCS PLC
Atlanta Main,HC6 Sipas,None,VIRT,HC6 SLCS PLC
Atlanta Main,HC6 Posijet Airveyor,None,SEC,HC6 Posijet Airveyor PLC
Atlanta Main,HC6 Filler,None,SEC,HC6 SLCS PLC
Atlanta Main,HC6 Capper,None,SEC,HC6 Capper PLC
Atlanta Main,HC6 Handle Placer,None,SEC,HC6 Handle Placer PLC
Atlanta Main,HC6 Labeler,None,SEC,HC6 Labeler PLC
Atlanta Main,HC6 Active Erector,None,VIRT,HC6 SLCS PLC
Atlanta Main,HC6 Erector Bliss,None,SEC,HC6 Erector Bliss PLC
Atlanta Main,HC6 Erector Bliss 2,None,SEC,HC6 Erector Bliss 2 PLC
Atlanta Main,HC6 Erector RSC,None,SEC,HC6 Erector RSC PLC
