Site,Asset Name,MES Ent in ABLE,Type,PLC
Atlanta West,Line2,None,LINE,ABLE
Atlanta West,Line2 Depal2,None,SEC,Line2 Depal2 PLC
Atlanta West,Line2 Winder3,None,LINE,ABLE
Atlanta West,Line2 Stuffer3,None,SEC,Line2 Stuffer3 PLC
Atlanta West,Line2 Winder4,None,LINE,ABLE
Atlanta West,Line2 Stuffer4,None,SEC,Line2 Stuffer4 PLC
Atlanta West,Line2 Filler2,None,SEC,Line2 Filler2 PLC
Atlanta West,Line2 Labeler4,None,SEC,Line2 Labeler4 PLC
Atlanta West,Line2 Labeler5,None,SEC,Line2 Labeler5 PLC
Atlanta West,Line2 Labeler6,None,SEC,Line2 Labeler6 PLC
Atlanta West,Line2 FS3,None,SEC,Line2 FS3 PLC
Atlanta West,Line2 TFS3,None,SEC,Line2 TFS3 PLC
Atlanta West,Line2 Palletizer2,None,SEC,Line2 Palletizer2 PLC
Atlanta West,Line2 Wrapper2,None,SEC,Line2 Wrapper2 PLC
Atlanta West,Line2 W3 General,None,VIRT,Line2 Winder3 PI1A PLC
Atlanta West,Line2 W3 UpperPly,None,VIRT,Line2 Winder3 PI1A PLC
Atlanta West,Line2 W3 Rewind,None,VIRT,Line2 Winder3 PI1A PLC
Atlanta West,Line2 W3 Extractor,None,VIRT,Line2 Winder3 PI1A PLC
Atlanta West,Line2 W3 Unwind1,None,VIRT,Line2 Winder3 PI1A PLC
Atlanta West,Line2 W3 Unwind2,None,VIRT,Line2 Winder3 PI1A PLC
Atlanta West,Line2 W3 LogSaw,None,VIRT,Line2 Winder3 LS1A PLC
Atlanta West,Line2 W3 TailSeal,None,VIRT,Line2 Winder3 TS1A PLC
Atlanta West,Line2 W4 General,None,VIRT,Line2 Winder4 PI1A PLC
Atlanta West,Line2 W4 UpperPly,None,VIRT,Line2 Winder4 PI1A PLC
Atlanta West,Line2 W4 Rewind,None,VIRT,Line2 Winder4 PI1A PLC
Atlanta West,Line2 W4 Extractor,None,VIRT,Line2 Winder4 PI1A PLC
Atlanta West,Line2 W4 Unwind1,None,VIRT,Line2 Winder4 PI1A PLC
Atlanta West,Line2 W4 Unwind2,None,VIRT,Line2 Winder4 PI1A PLC
Atlanta West,Line2 W4 LogSaw,None,VIRT,Line2 Winder4 LS1A PLC
Atlanta West,Line2 W4 TailSeal,None,VIRT,Line2 Winder4 TS1A PLC
Atlanta West,Line2 Labeler4 Zn,None,VIRT,ABLE
Atlanta West,Line2 Labeler5 Zn,None,VIRT,ABLE
Atlanta West,Line2 Labeler6 Zn,None,VIRT,ABLE
Atlanta West,Line2 Labelers,None,VIRT,ABLE
Atlanta West,Line2 FT Filler2 In1,None,VIRT,K995VPD_TBB21
Atlanta West,Line2 FT Filler2 In2,None,VIRT,K995VPD_TBB21
Atlanta West,Line2 FT Filler2 In3,None,VIRT,K995VPD_TBB21
Atlanta West,Line2 FT Filler2 In4,None,VIRT,K995VPD_TBB21
Atlanta West,Line2 FT Label4 In1,None,VIRT,K995VPE_TBB22
Atlanta West,Line2 FT Label4 In2,None,VIRT,K995VPE_TBB22
Atlanta West,Line2 FT Label5 In1,None,VIRT,K995VPE_TBB22
Atlanta West,Line2 FT Label5 In2,None,VIRT,K995VPE_TBB22
