reas_group,reas_desc,state,category1,spare4
Belle|Retort,Communication Fault,DOWNTIME,Excluded Time,10
Belle|Retort|Excluded Time,Planned Downtime,DOWNTIME,Excluded Time,11
Belle|Retort|External Delays|Primary Infeed,Infeed Starved,DOWNTIME,Excluded Time,12
Belle|Retort|External Delays|Secondary Infeed,Infeed Starved,DOWNTIME,Excluded Time,13
Belle|Retort|External Delays|Primary Discharge,Discharge Backup,DOWNTIME,Excluded Time,14
Belle|Retort|External Delays|Secondary Discharge,Discharge Backup,DOWNTIME,Excluded Time,15
Belle|Retort|External Delays|Primary Discharge,Discharge Stopped,DOWNTIME,Excluded Time,16
Belle|Retort|External Delays|Secondary Discharge,Discharge Stopped,DOWNTIME,Excluded Time,17
Belle|Retort|External Delays|Primary Infeed,Infeed Stopped,DOWNTIME,Excluded Time,18
Belle|Retort|External Delays|Secondary Infeed,Infeed Stopped,DOWNTIME,Excluded Time,19
Belle|Retort|Excluded Time,Bypassed/Not In Use,DOWNTIME,Excluded Time,20
Belle|Retort|General Stops,Machine Aborted,DOWNTIME,Process Failure,21
Belle|Retort|Operator Stops,Emergency Stop,DOWNTIME,Process Failure,22
Belle|Retort|Operator Stops,Machine Held,DOWNTIME,Process Failure,23
Belle|Retort|Operator Stops,Machine Stopped,DOWNTIME,Process Failure,24
Belle|Retort|Operator Stops,Machine Idle,DOWNTIME,Process Failure,25
Belle|Retort|General Stops,Machine Suspended,DOWNTIME,Process Failure,26
Belle|Retort|Operator Stops,Not In Auto,DOWNTIME,Process Failure,27
Belle|Retort|Operator Stops,Guard Doors/Safeties,DOWNTIME,Process Failure,28
Belle|Retort|General Stops,Invalid PackML State,DOWNTIME,Process Failure,29
Belle|Retort,Undefined State,DOWNTIME,SuperXXX,80
Belle|Retort,Clearing State,DOWNTIME,SuperXXX,81
Belle|Retort,Stopped State,DOWNTIME,SuperXXX,82
Belle|Retort,Starting State,DOWNTIME,SuperXXX,83
Belle|Retort,Idle State,DOWNTIME,SuperXXX,84
Belle|Retort,Suspended State,DOWNTIME,SuperXXX,85
Belle|Retort,Execute State,DOWNTIME,SuperXXX,86
Belle|Retort,Stopping State,DOWNTIME,SuperXXX,87
Belle|Retort,Aborting State,DOWNTIME,SuperXXX,88
Belle|Retort,Aborted State,DOWNTIME,SuperXXX,89
Belle|Retort,Holding State,DOWNTIME,SuperXXX,90
Belle|Retort,Held State,DOWNTIME,SuperXXX,91
Belle|Retort,Unholding State,DOWNTIME,SuperXXX,92
Belle|Retort,Suspending State,DOWNTIME,SuperXXX,93
Belle|Retort,Unsuspending State,DOWNTIME,SuperXXX,94
Belle|Retort,Resetting State,DOWNTIME,SuperXXX,95
Belle|Retort,Completing State,DOWNTIME,SuperXXX,96
Belle|Retort,Complete State,DOWNTIME,SuperXXX,97
Belle|Retort,Other,DOWNTIME,Scheduled Downtime,100
Belle|Retort,Maintenance,DOWNTIME,Scheduled Downtime,101
Belle|Retort,Training,DOWNTIME,Scheduled Downtime,102
Belle|Retort,Meeting,DOWNTIME,Scheduled Downtime,103
Belle|Retort|Wood Infeed,Fault Learning,DOWNTIME,Process Failure,1000
Belle|Retort|Wood Infeed,Machine Aborted,DOWNTIME,Process Failure,1001
Belle|Retort|Wood Infeed,Emergency Stop,DOWNTIME,Process Failure,1002
Belle|Retort|Wood Infeed,Machine Held,DOWNTIME,Process Failure,1003
Belle|Retort|Wood Infeed,Machine Stopped,DOWNTIME,Process Failure,1004
Belle|Retort|Wood Infeed,Machine Idle,DOWNTIME,Process Failure,1005
Belle|Retort|Wood Infeed,Machine Suspended,DOWNTIME,Process Failure,1006
Belle|Retort|Wood Infeed,Not In Auto,DOWNTIME,Process Failure,1007
Belle|Retort|Wood Infeed,Guard Doors/Safeties,DOWNTIME,Process Failure,1008
Belle|Retort|Wood Infeed,Invalid PackML State,DOWNTIME,Process Failure,1009
Belle|Retort|Wood Infeed,Communication Fault,DOWNTIME,Process Failure,1010
Belle|Retort|Wood Infeed|Wood Infeed Infeed,Infeed Starved,DOWNTIME,Process Failure,1012
Belle|Retort|Wood Infeed|Wood Infeed Sec Infeed,Infeed Starved,DOWNTIME,Process Failure,1013
Belle|Retort|Wood Infeed|Wood Infeed Disch,Discharge Backup,DOWNTIME,Process Failure,1014
Belle|Retort|Wood Infeed|Wood Infeed Sec Disch,Discharge Backup,DOWNTIME,Process Failure,1015
