Site,Asset Name,MES Ent in ABLE,Type,PLC
Belle,Retort,ROL_RT,LINE,Concentrator PLC
Belle,Wood Infeed,ROL_RT_Wood Infeed,SEC,Concentrator PLC
Belle,PML-Wood Infeed,None,VIRT,Concentrator PLC
Belle,Sizing,ROL_RT_Sizing,SEC,Concentrator PLC
Belle,PML-Sizing,None,VIRT,Concentrator PLC
Belle,Wood Dryer,ROL_RT_Wood Dryer,SEC,Concentrator PLC
Belle,PML-Wood Dryer,None,VIRT,Concentrator PLC
Belle,Furnace Charring,ROL_RT_Furnace Charring,SEC,Concentrator PLC
Belle,PML-Furnace Charring,None,VIRT,Concentrator PLC
Belle,Char Storage,ROL_RT_Char Storage,SEC,Concentrator PLC
Belle,PML-Char Storage,None,VIRT,Concentrator PLC
Belle,Propane Vaporizer,ROL_RT_Propane Vaporizer,SEC,Concentrator PLC
Belle,PML-Propane Vaporizer,None,VIRT,Concentrator PLC
Belle,Air Dryer,ROL_RT_Air Dryer,SEC,Concentrator PLC
Belle,PML-Air Dryer,None,VIRT,Concentrator PLC
Belle,Boiler,ROL_RT_Boiler,SEC,Concentrator PLC
Belle,PML-Boiler,None,VIRT,Concentrator PLC
Belle,Aux Burner,ROL_RT_Aux Burner,SEC,Concentrator PLC
Belle,PML-Aux Burner,None,VIRT,Concentrator PLC
Belle,Briquetting,ROL_BQ,LINE,Concentrator PLC
Belle,Minors,ROL_BQ_Minors,SEC,Concentrator PLC
Belle,PML-Minors,None,VIRT,Concentrator PLC
Belle,Dry Starch,ROL_BQ_Dry Starch,SEC,Concentrator PLC
Belle,PML-Dry Starch,None,VIRT,Concentrator PLC
Belle,Mixing Mulling,ROL_BQ_Mixing Mulling,SEC,Concentrator PLC
Belle,PML-Mixing Mulling,None,VIRT,Concentrator PLC
Belle,Press 1,ROL_BQ_Press 1,SEC,Concentrator PLC
Belle,PML-Press 1,None,VIRT,Concentrator PLC
Belle,Press 2,ROL_BQ_Press 2,SEC,Concentrator PLC
Belle,PML-Press 2,None,VIRT,Concentrator PLC
Belle,Conveyance,ROL_BQ_Conveyance,SEC,Concentrator PLC
Belle,PML-Conveyance,None,VIRT,Concentrator PLC
Belle,Dryer 1,ROL_BQ_Dryer 1,SEC,Concentrator PLC
Belle,PML-Dryer 1,None,VIRT,Concentrator PLC
Belle,Dryer 2,ROL_BQ_Dryer 2,SEC,Concentrator PLC
Belle,PML-Dryer 2,None,VIRT,Concentrator PLC
Belle,Dryer 3,ROL_BQ_Dryer 3,SEC,Concentrator PLC
Belle,PML-Dryer 3,None,VIRT,Concentrator PLC
Belle,Char Silos,ROL_BQ_Char Silos,SEC,Concentrator PLC
Belle,PML-Char Silos,None,VIRT,Concentrator PLC
Belle,Propane Burner,ROL_BQ_Propane Burner,SEC,Concentrator PLC
