Site,Asset Name,MES Ent in ABLE,Type,PLC
Burnside,Retort,None,LINE,Concentrator PLC
Burnside,Wood Dryer,None,SEC,Concentrator PLC
Burnside,Furnace Charring,None,SEC,Concentrator PLC
Burnside,Furnace Burner,None,SEC,Concentrator PLC
Burnside,Char Storage,None,SEC,Concentrator PLC
Burnside,ACC Heat,None,SEC,Concentrator PLC
Burnside,ACC Burner 1,None,SEC,Concentrator PLC
Burnside,ACC Burner 2,None,SEC,Concentrator PLC
Burnside,Wood Infeed,None,SEC,Concentrator PLC
Burnside,Sizing,None,SEC,Concentrator PLC
Burnside,Reclaimer,None,SEC,Concentrator PLC
Burnside,Stacker,None,SEC,Concentrator PLC
Burnside,Briquetting,None,LINE,Concentrator PLC
Burnside,Mixer Muller,None,SEC,Concentrator PLC
Burnside,Infeed TF and Doc,None,SEC,Concentrator PLC
Burnside,Flavored Wood,None,SEC,Concentrator PLC
Burnside,Hammermill,None,SEC,Concentrator PLC
Burnside,Minors,None,SEC,Concentrator PLC
Burnside,Press 1,None,SEC,Concentrator PLC
Burnside,Press 2,None,SEC,Concentrator PLC
Burnside,Dryer A,None,SEC,Concentrator PLC
Burnside,Dryer B,None,SEC,Concentrator PLC
Burnside,Dryer C,None,SEC,Concentrator PLC
Burnside,Discharge,None,SEC,Concentrator PLC
Burnside,Heat Supply,None,SEC,Concentrator PLC
Burnside,Dry Heat Burner,None,SEC,Concentrator PLC
Burnside,KCL,None,LINE,Concentrator PLC
Burnside,Line Control,None,SEC,Concentrator PLC
Burnside,Solvent,None,SEC,Concentrator PLC
Burnside,Filler,None,SEC,Concentrator PLC
Burnside,Sealer,None,SEC,Concentrator PLC
Burnside,Palletizer,None,SEC,Concentrator PLC
Burnside,Stretchwrapper,None,SEC,Concentrator PLC
Burnside,Case Packer,None,SEC,Concentrator PLC
Burnside,Case Erector,None,SEC,Concentrator PLC
Burnside,Labeler,None,SEC,Concentrator PLC
Burnside,Dog Bone Applicator,None,SEC,Concentrator PLC
Burnside,Line 1,None,LINE,Concentrator PLC
Burnside,L1 Bag Hanger,None,SEC,Concentrator PLC
Burnside,L1 Sealer Doboy,None,SEC,Concentrator PLC
Burnside,L1 Heat Tunnel,None,SEC,Concentrator PLC
Burnside,L1 Palletizer,None,SEC,Concentrator PLC
Burnside,L1 Stretchwrapper,None,SEC,Concentrator PLC
Burnside,Line 2,None,LINE,Concentrator PLC
Burnside,L2 Bag Hanger,None,SEC,Concentrator PLC
Burnside,L2 Sealer Doboy,None,SEC,Concentrator PLC
Burnside,L2 Polypack,None,SEC,Concentrator PLC
Burnside,L2 Polypack Bypass,None,SEC,Concentrator PLC
Burnside,L2 Palletizer,None,SEC,Concentrator PLC
Burnside,L2 Stretchwrapper,None,SEC,Concentrator PLC
Burnside,Pretreat,None,SEC,Concentrator PLC
Burnside,Silos Discharge,None,SEC,Concentrator PLC
Burnside,PML-Wood Dryer,None,VIRT,Concentrator PLC
Burnside,PML-Furnace Charring,None,VIRT,Concentrator PLC
Burnside,PML-Furnace Burner,None,VIRT,Concentrator PLC
Burnside,PML-Char Storage,None,VIRT,Concentrator PLC
Burnside,PML-ACC Heat,None,VIRT,Concentrator PLC
Burnside,PML-ACC Burner 1,None,VIRT,Concentrator PLC
Burnside,PML-ACC Burner 2,None,VIRT,Concentrator PLC
Burnside,PML-Wood Infeed,None,VIRT,Concentrator PLC
Burnside,PML-Sizing,None,VIRT,Concentrator PLC
Burnside,PML-Reclaimer,None,VIRT,Concentrator PLC
Burnside,PML-Stacker,None,VIRT,Concentrator PLC
Burnside,PML-Mixer Muller,None,VIRT,Concentrator PLC
