reas_group,reas_desc,state,category1,spare4
Houston|Null Reasons,No Reason,DOWNTIME,None,10000
Houston|Null Reasons,No Reason,DOWNTIME,None,10001
Houston|Null Reasons,No Reason,DOWNTIME,None,10002
Houston|Null Reasons,No Reason,DOWNTIME,None,10003
Houston|Null Reasons,No Reason,DOWNTIME,None,10004
Houston|Null Reasons,No Reason,DOWNTIME,None,10005
Houston|Null Reasons,No Reason,DOWNTIME,None,10006
Houston|Null Reasons,No Reason,DOWNTIME,None,10007
Houston|Null Reasons,No Reason,DOWNTIME,None,10008
Houston|Null Reasons,No Reason,DOWNTIME,None,10009
Houston|Null Reasons,No Reason,DOWNTIME,None,10010
Houston|Null Reasons,No Reason,DOWNTIME,None,10011
Houston|Null Reasons,No Reason,DOWNTIME,None,10012
Houston|Null Reasons,No Reason,DOWNTIME,None,10013
Houston|Null Reasons,No Reason,DOWNTIME,None,10014
Houston|Null Reasons,No Reason,DOWNTIME,None,10015
Houston|Null Reasons,No Reason,DOWNTIME,None,10016
Houston|Null Reasons,No Reason,DOWNTIME,None,10017
Houston|Null Reasons,No Reason,DOWNTIME,None,10018
Houston|Null Reasons,No Reason,DOWNTIME,None,10019
Houston|Null Reasons,No Reason,DOWNTIME,None,10020
Houston|Null Reasons,No Reason,DOWNTIME,None,10021
Houston|Null Reasons,No Reason,DOWNTIME,None,10022
Houston|Null Reasons,No Reason,DOWNTIME,None,10023
Houston|Null Reasons,No Reason,DOWNTIME,None,10024
Houston|Null Reasons,No Reason,DOWNTIME,None,10025
Houston|Null Reasons,No Reason,DOWNTIME,None,10026
Houston|Null Reasons,No Reason,DOWNTIME,None,10027
Houston|Null Reasons,No Reason,DOWNTIME,None,10028
Houston|Null Reasons,No Reason,DOWNTIME,None,10029
Houston|Null Reasons,No Reason,DOWNTIME,None,10030
Houston|Null Reasons,No Reason,DOWNTIME,None,10031
Houston|Null Reasons,No Reason,DOWNTIME,None,10032
Houston|Null Reasons,No Reason,DOWNTIME,None,10033
Houston|Null Reasons,No Reason,DOWNTIME,None,10034
Houston|Null Reasons,No Reason,DOWNTIME,None,10035
Houston|Null Reasons,No Reason,DOWNTIME,None,10036
Houston|Null Reasons,No Reason,DOWNTIME,None,10037
Houston|Null Reasons,No Reason,DOWNTIME,None,10038
Houston|Null Reasons,No Reason,DOWNTIME,None,10039
Houston|Null Reasons,No Reason,DOWNTIME,None,10040
Houston|Null Reasons,No Reason,DOWNTIME,None,10041
Houston|Null Reasons,No Reason,DOWNTIME,None,10042
Houston|Null Reasons,No Reason,DOWNTIME,None,10043
Houston|Null Reasons,No Reason,DOWNTIME,None,10044
Houston|Null Reasons,No Reason,DOWNTIME,None,10045
Houston|Null Reasons,No Reason,DOWNTIME,None,10046
Houston|Null Reasons,No Reason,DOWNTIME,None,10047
Houston|Null Reasons,No Reason,DOWNTIME,None,10048
Houston|Null Reasons,No Reason,DOWNTIME,None,10049
Houston|Null Reasons,No Reason,DOWNTIME,None,10050
Houston|Null Reasons,No Reason,DOWNTIME,None,10051
Houston|Null Reasons,No Reason,DOWNTIME,None,10052
Houston|Null Reasons,No Reason,DOWNTIME,None,10053
Houston|Null Reasons,No Reason,DOWNTIME,None,10054
Houston|Null Reasons,No Reason,DOWNTIME,None,10055
Houston|Null Reasons,No Reason,DOWNTIME,None,10056
Houston|Null Reasons,No Reason,DOWNTIME,None,10057
Houston|Null Reasons,No Reason,DOWNTIME,None,10058
Houston|Null Reasons,No Reason,DOWNTIME,None,10059
