Site,Asset Name,MES Ent in ABLE,Type,PLC
Reno,Pluto,None,LINE,None
Reno,Pluto Filler 1,None,SEC,Pluto Filler 1 PLC
Reno,Pluto Filler 2,None,SEC,Pluto Filler 2 PLC
Reno,Pluto Pnp Robot 1,None,SEC,Pluto Pnp Robot PLC
Reno,Pluto Pnp Robot 2,None,SEC,Pluto Pnp Robot PLC
Reno,Pluto Cartoner,None,SEC,Pluto Cartoner PLC
Reno,Pluto Carton Ckwr,None,SEC,Pluto Cartoner PLC
Reno,Pluto Casepacker,None,SEC,Pluto Casepacker PLC
Reno,Dry Palletizer,None,SEC,Dry Palletizer PLC
Reno,Dry Stretchwrapper,None,SEC,Dry Stretchwrapper PLC
Reno,Ceres,None,LINE,None
Reno,Ceres Bottle Hopper,None,SEC,Ceres Unscrambler PLC
Reno,Ceres Unscrambler,None,SEC,Ceres Unscrambler PLC
Reno,Ceres Orienter,None,SEC,Ceres Orienter PLC
Reno,Ceres Filler,None,SEC,Ceres Filler PLC
Reno,Ceres Capper,None,SEC,Ceres Capper PLC
Reno,Ceres Cap Sealer,None,SEC,Ceres SLCS PLC
Reno,Ceres Labeler,None,SEC,Ceres Labeler PLC
Reno,Ceres Case Packer,None,SEC,Ceres Case Packer PLC
Reno,Ceres Ink Jet Printer,None,SEC,Ceres SLCS PLC
Reno,Zeus,None,LINE,None
Reno,Zeus Depal,None,SEC,Zeus Depal PLC
Reno,Zeus Dumper,None,SEC,Zeus SLCS PLC
Reno,Zeus Unscrambler,None,SEC,Zeus Unscrambler PLC
Reno,Zeus Rinser,None,SEC,Zeus Filler PLC
Reno,Zeus Filler,None,SEC,Zeus Filler PLC
Reno,Zeus Capper,None,SEC,Zeus Filler PLC
Reno,Zeus Labeler,None,SEC,Zeus Labeler PLC
Reno,Zeus Accum Table,None,SEC,Zeus Accum Table PLC
Reno,Zeus Laner,None,SEC,Zeus Laner PLC
Reno,Zeus Case Former,None,SEC,Zeus Case Former PLC
Reno,Zeus Case Packer,None,SEC,Zeus Case Packer PLC
Reno,Zeus Case Sealer,None,SEC,Zeus Case Packer PLC
Reno,Columbia Robot Palletizer,None,SEC,Columbia Robot Palletizer PLC
Reno,Columbia Stretchwrapper,None,SEC,Columbia Stretchwrapper PLC
Reno,Atlas,None,LINE,None
Reno,Atlas Depal,None,SEC,Atlas Depal PLC
