reas_group,reas_desc,state,category1,spare4
String|Retort,Communication Fault,DOWNTIME,Excluded Time,10
String|Retort|Excluded Time,Planned Downtime,DOWNTIME,Excluded Time,11
String|Retort|External Delays|Primary Infeed,Infeed Starved,DOWNTIME,Excluded Time,12
String|Retort|External Delays|Secondary Infeed,Infeed Starved,DOWNTIME,Excluded Time,13
String|Retort|External Delays|Primary Discharge,Discharge Backup,DOWNTIME,Excluded Time,14
String|Retort|External Delays|Secondary Discharge,Discharge Backup,DOWNTIME,Excluded Time,15
String|Retort|External Delays|Primary Discharge,Discharge Stopped,DOWNTIME,Excluded Time,16
String|Retort|External Delays|Secondary Discharge,Discharge Stopped,DOWNTIME,Excluded Time,17
String|Retort|External Delays|Primary Infeed,Infeed Stopped,DOWNTIME,Excluded Time,18
String|Retort|External Delays|Secondary Infeed,Infeed Stopped,DOWNTIME,Excluded Time,19
String|Retort|Excluded Time,Bypassed/Not In Use,DOWNTIME,Excluded Time,20
String|Retort|General Stops,Machine Aborted,DOWNTIME,Process Failure,21
String|Retort|Operator Stops,Emergency Stop,DOWNTIME,Process Failure,22
String|Retort|Operator Stops,Machine Held,DOWNTIME,Process Failure,23
String|Retort|Operator Stops,Machine Stopped,DOWNTIME,Process Failure,24
String|Retort|Operator Stops,Machine Idle,DOWNTIME,Process Failure,25
String|Retort|General Stops,Machine Suspended,DOWNTIME,Process Failure,26
String|Retort|Operator Stops,Not In Auto,DOWNTIME,Process Failure,27
String|Retort|Operator Stops,Guard Doors/Safeties,DOWNTIME,Process Failure,28
String|Retort|General Stops,Invalid PackML State,DOWNTIME,Process Failure,29
String|Retort,Undefined State,DOWNTIME,SuperXXX,80
String|Retort,Clearing State,DOWNTIME,SuperXXX,81
String|Retort,Stopped State,DOWNTIME,SuperXXX,82
String|Retort,Starting State,DOWNTIME,SuperXXX,83
String|Retort,Idle State,DOWNTIME,SuperXXX,84
String|Retort,Suspended State,DOWNTIME,SuperXXX,85
String|Retort,Execute State,DOWNTIME,SuperXXX,86
String|Retort,Stopping State,DOWNTIME,SuperXXX,87
String|Retort,Aborting State,DOWNTIME,SuperXXX,88
String|Retort,Aborted State,DOWNTIME,SuperXXX,89
String|Retort,Holding State,DOWNTIME,SuperXXX,90
String|Retort,Held State,DOWNTIME,SuperXXX,91
String|Retort,Unholding State,DOWNTIME,SuperXXX,92
String|Retort,Suspending State,DOWNTIME,SuperXXX,93
String|Retort,Unsuspending State,DOWNTIME,SuperXXX,94
String|Retort,Resetting State,DOWNTIME,SuperXXX,95
String|Retort,Completing State,DOWNTIME,SuperXXX,96
String|Retort,Complete State,DOWNTIME,SuperXXX,97
String|Retort|Scheduled Downtime,Other,DOWNTIME,Scheduled Downtime,100
String|Retort|Scheduled Downtime,Maintenance,DOWNTIME,Scheduled Downtime,101
String|Retort|Scheduled Downtime,Training,DOWNTIME,Scheduled Downtime,102
String|Retort|Scheduled Downtime,Meeting,DOWNTIME,Scheduled Downtime,103
String|Retort|ACC Burner,Fault Learning,DOWNTIME,Process Failure,1000
String|Retort|ACC Burner,Machine Aborted,DOWNTIME,Process Failure,1001
String|Retort|ACC Burner,Emergency Stop,DOWNTIME,Process Failure,1002
String|Retort|ACC Burner,Machine Held,DOWNTIME,Process Failure,1003
String|Retort|ACC Burner,Machine Stopped,DOWNTIME,Process Failure,1004
String|Retort|ACC Burner,Machine Idle,DOWNTIME,Process Failure,1005
String|Retort|ACC Burner,Machine Suspended,DOWNTIME,Process Failure,1006
String|Retort|ACC Burner,Not In Auto,DOWNTIME,Process Failure,1007
String|Retort|ACC Burner,Guard Doors/Safeties,DOWNTIME,Process Failure,1008
String|Retort|ACC Burner,Invalid PackML State,DOWNTIME,Process Failure,1009
String|Retort|ACC Burner,Communication Fault,DOWNTIME,Process Failure,1010
String|Retort|ACC Burner|ACC Burner Infeed,Infeed Starved,DOWNTIME,Process Failure,1012
String|Retort|ACC Burner|ACC Burner Sec Infeed,Infeed Starved,DOWNTIME,Process Failure,1013
String|Retort|ACC Burner|ACC Burner Disch,Discharge Backup,DOWNTIME,Process Failure,1014
String|Retort|ACC Burner|ACC Burner Sec Disch,Discharge Backup,DOWNTIME,Process Failure,1015
String|Retort|ACC Burner|ACC Burner Disch,Discharge Stopped,DOWNTIME,Process Failure,1016
String|Retort|ACC Burner|ACC Burner Sec Disch,Discharge Stopped,DOWNTIME,Process Failure,1017
String|Retort|ACC Burner|ACC Burner Infeed,Infeed Stopped,DOWNTIME,Process Failure,1018
String|Retort|ACC Burner|ACC Burner Sec Infeed,Infeed Stopped,DOWNTIME,Process Failure,1019
String|Retort|ACC|50001 - ACC Temp,ACC Top Temp Low Alarm,DOWNTIME,None,100308
String|Retort|ACC|50002 - ACC Temp,ACC Bottom Temp High,DOWNTIME,None,100307
String|Retort|ACC|50002 - ACC Temp,ACC Low Temp Alarm,DOWNTIME,None,100309
String|Retort|ACC|50003 - ACC Temp,ACC Top Temp Low,DOWNTIME,None,100310
String|Retort|ACC|5001 - Furnace ID Fan,Temperature Out Of Range-Contact Maint.,DOWNTIME,None,100250
String|Retort|ACC|5001 - Furnace ID Fan,#5001 Furn ID Fan Alm,DOWNTIME,None,100316
String|Retort|ACC|5001 - Furnace ID Fan,#5001 Furn ID Fan  H-O-A,DOWNTIME,None,100324
String|Retort|ACC|5001 - Furnace ID Fan,Furnace ID Fan High Temp Alarm,DOWNTIME,None,100330
String|Retort|ACC|5001 - Furnace ID Fan,Furn ID Fan High Amps,DOWNTIME,None,100331
String|Retort|ACC|5001 - Furnace ID Fan,#5001 Furn ID Fan  Breaker,DOWNTIME,None,100336
String|Retort|ACC|5001 - Furnace ID Fan,#5001 Furn ID Fan Disc. Sw,DOWNTIME,None,100342
String|Retort|ACC|5001 - Furnace ID Fan,#5001 Furn ID Fan Overloads,DOWNTIME,None,100348
String|Retort|ACC|5001 - Furnace ID Fan,Furnace ID Fan Over Temp,DOWNTIME,None,100356
String|Retort|ACC|50013 - Duct Blower,Ductblower #3 Fault,DOWNTIME,None,100358
String|Retort|ACC|5002 - ACC Comb Air,#5002 ACC Comb Air Fan Alm,DOWNTIME,None,100317
String|Retort|ACC|5002 - ACC Comb Air,#5002 ACC Comb Air Fan  H-O-A,DOWNTIME,None,100325
String|Retort|ACC|5002 - ACC Comb Air,ACC Comb Air Fan High Amps,DOWNTIME,None,100332
String|Retort|ACC|5002 - ACC Comb Air,#5002 ACC Comb Air Fan  Breaker,DOWNTIME,None,100337
String|Retort|ACC|5002 - ACC Comb Air,#5002 ACC Comb Air Fan Disc. Sw,DOWNTIME,None,100343
String|Retort|ACC|5002 - ACC Comb Air,#5002 ACC Comb Air Fan Overloads,DOWNTIME,None,100349
String|Retort|ACC|5003 - ACC Temp Air Fan,#5003 ACC Temp Air Fan Alm,DOWNTIME,None,100318
String|Retort|ACC|5003 - ACC Temp Air Fan,#5003 ACC Temp Air Fan  H-O-A,DOWNTIME,None,100326
String|Retort|ACC|5003 - ACC Temp Air Fan,ACC Temp Air Fan High Amps,DOWNTIME,None,100333
String|Retort|ACC|5003 - ACC Temp Air Fan,#5003 ACC Temp Air Fan  Breaker,DOWNTIME,None,100338
String|Retort|ACC|5003 - ACC Temp Air Fan,#5003 ACC Temp Air Fan Disc. Sw,DOWNTIME,None,100344
String|Retort|ACC|5003 - ACC Temp Air Fan,#5003 ACC Temp Air Fan Overloads,DOWNTIME,None,100350
String|Retort|ACC|50051 - Pony Motor,Pony Motor Alm,DOWNTIME,None,100320
String|Retort|ACC|50051 - Pony Motor,Pony Motor H-O-A,DOWNTIME,None,100328
String|Retort|ACC|50051 - Pony Motor,Pony Motor High Amps,DOWNTIME,None,100335
String|Retort|ACC|50051 - Pony Motor,Pony Motor Breaker,DOWNTIME,None,100340
String|Retort|ACC|50051 - Pony Motor,Pony Motor Disc. Sw,DOWNTIME,None,100346
String|Retort|ACC|50051 - Pony Motor,Pony Motor Overloads,DOWNTIME,None,100352
String|Retort|ACC|52001 - ACC Burner,ACC Burner Flame Fail,DOWNTIME,None,100322
String|Retort|ACC|Ductblower,Ductblower 5 Fault,DOWNTIME,None,100312
String|Retort|ACC|Ductblower,Ductblower 6 Fault,DOWNTIME,None,100313
String|Retort|ACC|Gas Pressure,Low Gas Pressure,DOWNTIME,None,100323
String|Retort|ACC|Opacity Alm,Take Opacity Reading Alm,DOWNTIME,None,100315
String|Retort|Air Compressor,Fault Learning,DOWNTIME,Process Failure,1100
String|Retort|Air Compressor,Machine Aborted,DOWNTIME,Process Failure,1101
String|Retort|Air Compressor,Emergency Stop,DOWNTIME,Process Failure,1102
String|Retort|Air Compressor,Machine Held,DOWNTIME,Process Failure,1103
String|Retort|Air Compressor,Machine Stopped,DOWNTIME,Process Failure,1104
String|Retort|Air Compressor,Machine Idle,DOWNTIME,Process Failure,1105
String|Retort|Air Compressor,Machine Suspended,DOWNTIME,Process Failure,1106
String|Retort|Air Compressor,Not In Auto,DOWNTIME,Process Failure,1107
String|Retort|Air Compressor,Guard Doors/Safeties,DOWNTIME,Process Failure,1108
String|Retort|Air Compressor,Invalid PackML State,DOWNTIME,Process Failure,1109
String|Retort|Air Compressor,Communication Fault,DOWNTIME,Process Failure,1110
String|Retort|Air Compressor|Air Compressor Infeed,Infeed Starved,DOWNTIME,Process Failure,1112
String|Retort|Air Compressor|Air Compressor Sec Infeed,Infeed Starved,DOWNTIME,Process Failure,1113
String|Retort|Air Compressor|Air Compressor Disch,Discharge Backup,DOWNTIME,Process Failure,1114
String|Retort|Air Compressor|Air Compressor Sec Disch,Discharge Backup,DOWNTIME,Process Failure,1115
String|Retort|Air Compressor|Air Compressor Disch,Discharge Stopped,DOWNTIME,Process Failure,1116
String|Retort|Air Compressor|Air Compressor Sec Disch,Discharge Stopped,DOWNTIME,Process Failure,1117
String|Retort|Air Compressor|Air Compressor Infeed,Infeed Stopped,DOWNTIME,Process Failure,1118
String|Retort|Air Compressor|Air Compressor Sec Infeed,Infeed Stopped,DOWNTIME,Process Failure,1119
String|Retort|AIRCOMP|Air Pressure,Plant Air Low Pressure,DOWNTIME,None,100314
String|Retort|Boiler,Fault Learning,DOWNTIME,Process Failure,1200
String|Retort|Boiler,Machine Aborted,DOWNTIME,Process Failure,1201
String|Retort|Boiler,Emergency Stop,DOWNTIME,Process Failure,1202
String|Retort|Boiler,Machine Held,DOWNTIME,Process Failure,1203
String|Retort|Boiler,Machine Stopped,DOWNTIME,Process Failure,1204
String|Retort|Boiler,Machine Idle,DOWNTIME,Process Failure,1205
String|Retort|Boiler,Machine Suspended,DOWNTIME,Process Failure,1206
String|Retort|Boiler,Not In Auto,DOWNTIME,Process Failure,1207
String|Retort|Boiler,Guard Doors/Safeties,DOWNTIME,Process Failure,1208
String|Retort|Boiler,Invalid PackML State,DOWNTIME,Process Failure,1209
String|Retort|Boiler,Communication Fault,DOWNTIME,Process Failure,1210
String|Retort|Boiler|Boiler Infeed,Infeed Starved,DOWNTIME,Process Failure,1212
String|Retort|Boiler|Boiler Sec Infeed,Infeed Starved,DOWNTIME,Process Failure,1213
String|Retort|Boiler|Boiler Disch,Discharge Backup,DOWNTIME,Process Failure,1214
String|Retort|Boiler|Boiler Sec Disch,Discharge Backup,DOWNTIME,Process Failure,1215
String|Retort|Boiler|Boiler Disch,Discharge Stopped,DOWNTIME,Process Failure,1216
String|Retort|Boiler|Boiler Sec Disch,Discharge Stopped,DOWNTIME,Process Failure,1217
String|Retort|Boiler|Boiler Infeed,Infeed Stopped,DOWNTIME,Process Failure,1218
String|Retort|Boiler|Boiler Sec Infeed,Infeed Stopped,DOWNTIME,Process Failure,1219
String|Retort|BOILER|Flame Failure,Boiler Flame Failure Alarm,DOWNTIME,None,110465
String|Retort|BOILER|Water Level,Boiler High Water Alarm,DOWNTIME,None,110466
String|Retort|BOILER|Water Level,Boiler Low Water Alarm,DOWNTIME,None,110467
String|Retort|BOILER|02202_01 _ Mist,Zone A Flow Alarm High,DOWNTIME,None,110468
String|Retort|BOILER|02202_01 _ Mist,Zone A Flow Alarm Low,DOWNTIME,None,110469
String|Retort|BOILER|02202_01 _ Mist,Zone A Flow Alarm Low Low,DOWNTIME,None,110470
String|Retort|BOILER|02202_02 - Mist,Zone B Flow Alarm Low,DOWNTIME,None,110471
String|Retort|BOILER|02202_02 - Mist,Zone B Flow Alarm Low Low,DOWNTIME,None,110472
String|Retort|BOILER|02202_03 - Mist,Zone C Flow Alarm High,DOWNTIME,None,110473
String|Retort|BOILER|02202_03 - Mist,Zone C Flow Alarm Low,DOWNTIME,None,110474
String|Retort|BOILER|02202_03 - Mist,Zone C Flow Alarm Low Low,DOWNTIME,None,110475
String|Retort|BOILER|02202_01 _ Mist,Mist Pump HOA Fault,DOWNTIME,None,110476
String|Retort|BOILER|02201_01 - Mist Tank,Mist Tank High Level,DOWNTIME,None,110477
String|Retort|BOILER|02201_01 - Mist Tank,Mist Tank Low Level,DOWNTIME,None,110479
String|Retort|BOILER|02202_01 _ Mist,Mist Pump Mcp Fault,DOWNTIME,None,110483
String|Retort|BOILER|02202_01 _ Mist,Mist Pump Disc Fault,DOWNTIME,None,110484
String|Retort|BOILER|02202_01 _ Mist,Mist Pump Msa Fault,DOWNTIME,None,110485
String|Retort|BOILER|02202_01 _ Mist,Mist Pump Msol Fault,DOWNTIME,None,110486
String|Retort|Furnace Charring,Fault Learning,DOWNTIME,Process Failure,1300
String|Retort|Furnace Charring,Machine Aborted,DOWNTIME,Process Failure,1301
String|Retort|Furnace Charring,Emergency Stop,DOWNTIME,Process Failure,1302
String|Retort|Furnace Charring,Machine Held,DOWNTIME,Process Failure,1303
String|Retort|Furnace Charring,Machine Stopped,DOWNTIME,Process Failure,1304
String|Retort|Furnace Charring,Machine Idle,DOWNTIME,Process Failure,1305
String|Retort|Furnace Charring,Machine Suspended,DOWNTIME,Process Failure,1306
String|Retort|Furnace Charring,Not In Auto,DOWNTIME,Process Failure,1307
String|Retort|Furnace Charring,Guard Doors/Safeties,DOWNTIME,Process Failure,1308
String|Retort|Furnace Charring,Invalid PackML State,DOWNTIME,Process Failure,1309
String|Retort|Furnace Charring,Communication Fault,DOWNTIME,Process Failure,1310
String|Retort|Furnace Charring|Furnace Charring Infeed,Infeed Starved,DOWNTIME,Process Failure,1312
String|Retort|Furnace Charring|Furnace Charring Sec Infeed,Infeed Starved,DOWNTIME,Process Failure,1313
String|Retort|Furnace Charring|Furnace Charring Disch,Discharge Backup,DOWNTIME,Process Failure,1314
String|Retort|Furnace Charring|Furnace Charring Sec Disch,Discharge Backup,DOWNTIME,Process Failure,1315
String|Retort|Furnace Charring|Furnace Charring Disch,Discharge Stopped,DOWNTIME,Process Failure,1316
String|Retort|Furnace Charring|Furnace Charring Sec Disch,Discharge Stopped,DOWNTIME,Process Failure,1317
String|Retort|Furnace Charring|Furnace Charring Infeed,Infeed Stopped,DOWNTIME,Process Failure,1318
String|Retort|Furnace Charring|Furnace Charring Sec Infeed,Infeed Stopped,DOWNTIME,Process Failure,1319
String|Retort|CHARRING|20121 - Furnace Feed Screw,Furn Feed Screw Rot Feed Alm,DOWNTIME,None,120075
String|Retort|CHARRING|20121 - Furnace Feed Screw,Furn Feed Screw Rot Feed H-O-A,DOWNTIME,None,120081
String|Retort|CHARRING|20121 - Furnace Feed Screw,Furn Feed Screw Rot  High Amps,DOWNTIME,None,120097
