Site,Asset Name,MES Ent in ABLE,Type,PLC
Belle,Retort,ROL_RT,LINE,Concentrator PLC
Belle,Wood Infeed,ROL_RT_Wood Infeed,SEC,Concentrator PLC
Belle,Sizing,ROL_RT_Sizing,SEC,Concentrator PLC
Belle,Wood Dryer,ROL_RT_Wood Dryer,SEC,Concentrator PLC
Belle,Furnace Charring,ROL_RT_Furnace Charring,SEC,Concentrator PLC
Belle,Char Storage,ROL_RT_Char Storage,SEC,Concentrator PLC
Belle,Propane Vaporizer,ROL_RT_Propane Vaporizer,SEC,Concentrator PLC
Belle,Air Dryer,ROL_RT_Air Dryer,SEC,Concentrator PLC
Belle,Boiler,ROL_RT_Boiler,SEC,Concentrator PLC
Belle,Aux Burner,ROL_RT_Aux Burner,SEC,Concentrator PLC
Belle,Briquetting,ROL_BQ,LINE,Concentrator PLC
Belle,Minors,ROL_BQ_Minors,SEC,Concentrator PLC
Belle,Dry Starch,ROL_BQ_Dry Starch,SEC,Concentrator PLC
Belle,Mixing Mulling,ROL_BQ_Mixing Mulling,SEC,Concentrator PLC
Belle,Press 1,ROL_BQ_Press 1,SEC,Concentrator PLC
Belle,Press 2,ROL_BQ_Press 2,SEC,Concentrator PLC
Belle,Conveyance,ROL_BQ_Conveyance,SEC,Concentrator PLC
Belle,Dryer 1,ROL_BQ_Dryer 1,SEC,Concentrator PLC
Belle,Dryer 2,ROL_BQ_Dryer 2,SEC,Concentrator PLC
Belle,Dryer 3,ROL_BQ_Dryer 3,SEC,Concentrator PLC
Belle,Char Silos,ROL_BQ_Char Silos,SEC,Concentrator PLC
Belle,Propane Burner,ROL_BQ_Propane Burner,SEC,Concentrator PLC
Belle,Fuel Oil Burner,ROL_BQ_Fuel Oil Burner,SEC,Concentrator PLC
Belle,Line1,ROL_PK_Line1,LINE,Concentrator PLC
Belle,L1 Bag Magazine,ROL_PK_L1 Bag Magaziner,SEC,Concentrator PLC
Belle,L1 Sealer Doboy,ROL_PK_L1 Sealer Doboy,SEC,Concentrator PLC
Belle,L1 Palletizer,ROL_PK_L1 Palletizer,SEC,Concentrator PLC
Belle,L1 Stretchwrapper,ROL_PK_L1 Stretchwrapper,SEC,Concentrator PLC
Belle,L1 Pallet Stacker,ROL_PK_L1 Pallet Stacker,SEC,Concentrator PLC
Belle,Smoker,ROL_PK_Smoker,SEC,Concentrator PLC
Belle,Line2,ROL_PK_Line2,LINE,Concentrator PLC
Belle,L2 Bag Magazine,ROL_PK_L2 Bag Magazine,SEC,Concentrator PLC
Belle,L2 Sealer Doboy,ROL_PK_L2 Sealer Doboy,SEC,Concentrator PLC
Belle,L2 Shrink Tunnel,ROL_PK_L2 Shrink Tunnel,SEC,Concentrator PLC
Belle,L2 Palletizer 1,ROL_PK_L2 Palletizer 1,SEC,Concentrator PLC
Belle,L2 Palletizer 2,ROL_PK_L2 Palletizer 2,SEC,Concentrator PLC
Belle,L2 Stretchwrapper 1,ROL_PK_L2 Stretchwrapper 1,SEC,Concentrator PLC
Belle,L2 Stretchwrapper 2,ROL_PK_L2 Stretchwrapper 2,SEC,Concentrator PLC
Belle,L2 Pallet Stacker 1,ROL_PK_L2 Pallet Stacker 1,SEC,Concentrator PLC
Belle,L2 Pallet Stacker 2,ROL_PK_L2 Pallet Stacker 2,SEC,Concentrator PLC
Belle,ACC Heat,ROL_RT_ACC Heat,SEC,Concentrator PLC
Belle,Hammermill,ROL_BQ_Hammermill,SEC,Concentrator PLC
Belle,ReRun Fines,ROL_BQ_ReRun Fines,SEC,Concentrator PLC
Belle,CoalSizing,ROL_BQ_CoalSizing,SEC,Concentrator PLC
Belle,Briquetting Infeed,ROL_BQ_Briquetting Infeed,SEC,Concentrator PLC
Belle,L1 Bag Hanger,ROL_PK_L1 Bag Hanger,SEC,Concentrator PLC
Belle,L2 Bag Hanger,ROL_PK_L2 Bag Hanger,SEC,Concentrator PLC
Belle,L1 Diverter,ROL_PK_L1 Diverter,SEC,Concentrator PLC
Belle,L1 Shrink Wrap,ROL_PK_L1 Shrink Wrap,SEC,Concentrator PLC
